state,crop_year,season,crop,area,production,yield
Karnataka,2011,KHARIF,SUNFLOWER,25394.0,7778.0,3.062928250767898
Tamil Nadu,2002,KHARIF,URAD,277.0,111.0,4.007220216606498
Odisha,2011,SUMMER,URAD,2.0,0.2,1.0
Uttar Pradesh,2006,KHARIF,RICE,85996.0,121168.0,14.089957672449883
Gujarat,2004,KHARIF,MOONG(GREEN GRAM),1300.0,500.0,3.8461538461538463
Madhya Pradesh,2013,KHARIF,JOWAR,326.0,394.0,12.085889570552146
Uttar Pradesh,2013,KHARIF,DRY CHILLIES,138.0,112.0,8.115942028985508
Uttar Pradesh,2000,WHOLE YEAR,POTATO,5107.0,69423.0,135.9369492852947
Uttar Pradesh,1997,KHARIF,JOWAR,3112.0,3366.0,10.816195372750643
Rajasthan,2007,KHARIF,MAIZE,28689.0,53061.0,18.49524207884555
Odisha,2002,KHARIF,JOWAR,80.0,60.0,7.5
Tamil Nadu,2013,WHOLE YEAR,GRAM,8.0,5.0,6.25
Jammu And Kashmir,2007,KHARIF,MAIZE,12012.0,10590.0,8.816183816183816
Bihar,2011,AUTUMN,MAIZE,9163.0,22092.0,24.110007639419404
Uttar Pradesh,2002,RABI,ONION,38.0,392.0,103.15789473684211
Bihar,2012,KHARIF,SESAMUM,57.0,50.0,8.771929824561402
Odisha,1998,WINTER,RICE,264102.0,252831.0,9.573233069041507
Telangana,1998,KHARIF,JOWAR,67800.0,35700.0,5.265486725663717
Uttar Pradesh,2005,RABI,GRAM,44405.0,28109.0,6.330143001914199
Gujarat,2010,KHARIF,MOONG(GREEN GRAM),3700.0,1700.0,4.594594594594595
West Bengal,1998,WINTER,RICE,294528.0,692470.0,23.5111772055628
Andhra Pradesh,2005,RABI,URAD,98.0,62.0,6.326530612244898
Bihar,2007,AUTUMN,RICE,3003.0,1986.0,6.613386613386614
Rajasthan,2010,RABI,GRAM,7942.0,7387.0,9.301183580961975
Assam,2003,RABI,GRAM,8.0,4.0,5.0
Bihar,1998,KHARIF,MAIZE,530.0,613.0,11.566037735849058
Uttar Pradesh,2006,RABI,RAPESEED &MUSTARD,3312.0,4185.0,12.63586956521739
Nagaland,2008,KHARIF,DRY CHILLIES,100.0,140.0,14.0
Uttarakhand,2012,KHARIF,ARHAR/TUR,274.0,250.0,9.124087591240876
Karnataka,1998,KHARIF,ONION,7638.0,53886.0,70.54988216810683
Bihar,2003,KHARIF,SUNFLOWER,21.0,29.0,13.80952380952381
Uttar Pradesh,2003,SUMMER,MAIZE,734.0,1003.0,13.664850136239782
Assam,2008,WHOLE YEAR,ONION,190.0,381.0,20.052631578947366
Andhra Pradesh,2003,KHARIF,ONION,57.0,831.0,145.78947368421052
Karnataka,2009,KHARIF,SUNFLOWER,12972.0,5592.0,4.310823311748381
Bihar,1998,WHOLE YEAR,DRY CHILLIES,410.0,640.0,15.609756097560975
Bihar,1999,RABI,MOONG(GREEN GRAM),1141.0,859.0,7.528483786152497
West Bengal,2002,RABI,MOONG(GREEN GRAM),45.0,34.0,7.555555555555555
Odisha,2004,AUTUMN,MAIZE,3581.0,3422.2,9.556548450153588
Gujarat,2005,SUMMER,GROUNDNUT,1200.0,2000.0,16.666666666666668
Punjab,2005,RABI,RAPESEED &MUSTARD,2000.0,2000.0,10.0
Bihar,2001,SUMMER,MAIZE,2779.0,8954.0,32.220223101835195
Bihar,2008,KHARIF,MOONG(GREEN GRAM),107.0,71.0,6.635514018691588
Telangana,2013,KHARIF,DRY CHILLIES,4827.0,14578.0,30.20095297286099
Maharashtra,2013,KHARIF,SESAMUM,800.0,200.0,2.5
West Bengal,2006,KHARIF,MAIZE,4466.0,10390.0,23.264666368114643
Maharashtra,2014,KHARIF,SESAMUM,200.0,100.0,5.0
Uttar Pradesh,2011,KHARIF,MOONG(GREEN GRAM),4688.0,2302.0,4.910409556313994
Madhya Pradesh,2010,WHOLE YEAR,DRY CHILLIES,903.0,698.0,7.729789590254707
Odisha,2012,SUMMER,WHEAT,7.0,13.0,18.571428571428573
Odisha,2001,RABI,GRAM,2890.0,1330.0,4.602076124567474
Uttarakhand,2009,WHOLE YEAR,ONION,5.0,25.0,50.0
Tamil Nadu,2005,KHARIF,MOONG(GREEN GRAM),2.0,1.0,5.0
Uttar Pradesh,2013,RABI,MAIZE,1.0,4.0,40.0
Uttar Pradesh,2011,KHARIF,SESAMUM,558.0,121.0,2.1684587813620073
Tamil Nadu,2006,WHOLE YEAR,SUNFLOWER,4662.0,6367.0,13.657228657228657
Uttar Pradesh,2014,RABI,ONION,42.0,643.0,153.0952380952381
Jharkhand,2007,RABI,POTATO,675.43,1748.0,25.879809898879238
Madhya Pradesh,2003,KHARIF,RICE,22368.0,14612.0,6.532546494992847
Karnataka,2010,RABI,MOONG(GREEN GRAM),1828.0,641.0,3.5065645514223194
Uttar Pradesh,2003,KHARIF,MAIZE,1442.0,2234.0,15.492371705963938
Uttar Pradesh,2002,RABI,RAPESEED &MUSTARD,3772.0,3086.0,8.1813361611877
Uttar Pradesh,2012,RABI,ONION,52.0,1196.0,230.0
Uttar Pradesh,2005,KHARIF,MAIZE,157.0,244.0,15.541401273885352
Haryana,2005,KHARIF,JOWAR,13238.0,4000.0,3.021604471974619
Tamil Nadu,2004,KHARIF,SUNFLOWER,3378.0,3988.0,11.805802249851984
Karnataka,2012,SUMMER,POTATO,2.0,44.0,220.0
Andhra Pradesh,2012,RABI,MOONG(GREEN GRAM),3711.0,2505.0,6.750202101859337
Andhra Pradesh,2004,RABI,JOWAR,69.0,130.0,18.840579710144926
Uttar Pradesh,2001,RABI,WHEAT,107899.0,289561.0,26.836300614463525
Uttar Pradesh,2014,RABI,POTATO,7865.0,164945.0,209.72027972027973
Bihar,2011,SUMMER,MOONG(GREEN GRAM),21081.0,7842.0,3.719937384374555
Haryana,2002,KHARIF,RICE,66915.0,202000.0,30.187551371142494
Uttarakhand,2008,KHARIF,GROUNDNUT,99.0,84.0,8.484848484848484
Uttarakhand,2003,KHARIF,URAD,372.0,122.0,3.279569892473118
Bihar,2000,RABI,RAPESEED &MUSTARD,1120.0,775.0,6.919642857142857
Haryana,2012,KHARIF,MOONG(GREEN GRAM),1762.0,849.0,4.81838819523269
Uttar Pradesh,2008,KHARIF,JOWAR,14864.0,11480.0,7.723358449946178
Bihar,2003,KHARIF,MAIZE,5205.0,8495.0,16.320845341018252
Uttar Pradesh,2013,KHARIF,RICE,149517.0,342394.0,22.900004681741876
West Bengal,2006,RABI,GRAM,8093.0,5527.0,6.82935870505375
Uttar Pradesh,2011,SUMMER,MAIZE,22.0,36.0,16.363636363636363
Arunachal Pradesh,2012,KHARIF,MAIZE,1825.0,2590.0,14.191780821917808
Chhattisgarh,2003,KHARIF,MOONG(GREEN GRAM),25.0,4.0,1.6
Odisha,2009,WINTER,RAPESEED &MUSTARD,287.0,69.7,2.4285714285714284
Madhya Pradesh,2001,KHARIF,MAIZE,33030.0,75690.0,22.915531335149865
Uttarakhand,2009,RABI,GRAM,145.0,50.0,3.4482758620689657
Assam,2009,RABI,RAPESEED &MUSTARD,14241.0,7359.0,5.167474194227934
Maharashtra,1999,RABI,GRAM,12200.0,9300.0,7.6229508196721305
Madhya Pradesh,2002,WHOLE YEAR,ONION,306.0,7641.0,249.70588235294116
Uttar Pradesh,1999,SUMMER,MOONG(GREEN GRAM),9.0,5.0,5.555555555555555
Uttar Pradesh,2009,KHARIF,RICE,86158.0,166113.0,19.280043640753036
West Bengal,2014,SUMMER,MAIZE,251.0,552.0,21.99203187250996
Maharashtra,2012,RABI,GRAM,26100.0,10900.0,4.17624521072797
Madhya Pradesh,2006,KHARIF,RICE,701.0,1100.0,15.691868758915835
Punjab,1997,KHARIF,URAD,2300.0,800.0,3.4782608695652173
Uttar Pradesh,2009,KHARIF,MOONG(GREEN GRAM),8.0,1.0,1.25
Karnataka,2008,KHARIF,MAIZE,438.0,1103.0,25.182648401826487
Assam,2010,WHOLE YEAR,ONION,302.0,755.0,25.0
Uttar Pradesh,1998,WHOLE YEAR,ONION,241.0,2910.0,120.74688796680498
Haryana,2000,RABI,WHEAT,136504.0,481000.0,35.23706265017875
Bihar,2013,WINTER,RICE,139722.0,514563.0,36.82762914931077
